<<<<<<< HEAD
Rank,School System,State,Enrollment,Elementary_secondary Expenditure Total,Selected Objects Salaries,Selected Objects Employee Benfits,Instruction Salaries,Instruction Employee Benefits,Support Services Pupil Support,Support Services Instructive Staff Support,Support Services General Administration,Support Services School Administration,Support Services Other and Nonspecified,Other Current Spending,Capital Outlay,Inter-governmental,Interest On Debt,grad_rate
79,Seattle,Washington,54215,949343,51998,14597,0.26396753665959605,0.16844046850502628,13958,463470,338935,1.0982016047219405,0.6161578898828738,31591,433875,377068,6.9547357742322236,0,0,553,92.5
80,Plano,Texas,54173,768901,34476,5012,0.171173831982722,0.16785114355859931,11098,59431,34744,0.0,0.0,24687,674994,638086,11.778672032193159,0,6,7,93.6
81,Boston,Massachusetts,53640,1533514,87514,36129,0.30706562266964954,0.33038777032065625,17192,369106,216128,0.0,0.30013049962714394,136879,1076894,0,0.0,1040485,0,1151,84.3
82,Capistrano Unified,California,53613,557883,22218,4694,0.18848040587171022,0.09484639919422529,2334,194390,100422,0.46462611680002985,0.0,69058,341275,319925,5.967302706433141,0,5087,119,84.3
83,Jordan,Utah,53416,423508,27911,4435,0.1516212370825221,0.16255429084918377,6694,236866,140992,0.48395611801707356,0.12015126553841546,63605,158731,130893,2.4504455593829566,0,0,0,89.8
84,Lewisville,Texas,53257,624244,32844,4260,0.15194246765683384,0.2046491541018082,9593,93834,69284,0.0,0.0,24550,497566,464232,8.716825957151173,0,537,0,92.0
85,Corona-Norco Unified,California,53157,672025,37378,7503,0.18119908948962507,0.2658916041161089,6109,430799,322159,0.49673608367665595,0.0,82235,203848,140497,2.643057358391181,0,35366,0,80.1
86,San Bernardino Unified,California,53152,744325,79463,29062,0.21713199879590608,0.5329808850090307,10531,577008,463249,0.4867925948223962,0.0,87885,87854,43840,0.8248043347381095,0,21659,8759,78.8
87,San Antonio,Texas,52514,664712,131959,28066,0.20765891000495107,0.7967780020565944,51146,282637,255669,0.0,0.0,26968,250116,236671,4.50681722969113,0,1388,0,81.7
88,Omaha,Nebraska,52344,709944,80998,20162,0.24531942534005807,0.4941540577716644,22129,291375,234776,0.6859047837383463,0.0,20696,337571,319987,5.519027968821641,0,2174,294,89.4
89,Atlanta,Georgia,51927,1036656,83140,36262,0.2031120611627862,0.5245055558765189,9095,202972,129980,0.43125926781828333,0.05989177114025459,47488,750544,585268,9.271669844204364,0,26252,0,90.9
91,Henrico County,Virginia,51425,583933,45383,11463,0.3003014098201264,0.2586679630529898,5175,255353,187106,0.33923189110354884,0.0,50802,283197,0,0.0,266357,0,2339,90.9
92,Cumberland County,North Carolina,51194,451239,64874,14391,0.20389108098605305,0.4317888815095519,17940,285151,280672,0.0,0.0,4479,101214,0,0.0,85554,0,0,90.3
93,Wichita Unified,Kansas,50600,634437,71902,22823,0.0,0.3956719367588933,29058,439511,341658,0.8515415019762845,0.00045454545454545455,54742,123024,88799,1.7549209486166009,0,12856,0,89.0
94,Columbus,Ohio,50331,920853,95592,37253,0.2684230394786513,0.5537541475432636,16958,241241,180185,0.0,0.0,61056,584020,493457,9.804235957958316,0,8518,2859,90.4
95,Oakland Unified,California,49760,698481,65462,17878,0.20618971061093247,0.3236736334405145,21218,362146,265812,0.41282154340836014,0.0,75792,270873,202080,3.417684887459807,0,20036,1152,87.3
96,San Juan Unified,California,49255,597918,41090,12046,0.20056847020607044,0.23329611206984063,7674,382377,287009,0.5555172063749874,0.0,68006,174451,146604,2.976428788955436,0,873,1867,93.3
97,Manatee County,Florida,48884,518077,54021,14464,0.2067956795679568,0.4009491858276737,9848,174029,68787,0.4405326896325996,0.06519515587922428,80520,290027,245476,4.402197037885607,0,0,359,88.5
98,Jefferson Parish,Louisiana,48668,591091,76985,25341,0.2842935809977809,0.4506862825676009,15874,221782,213646,0.0,0.0,8136,292324,271610,1.6821319963836607,0,3738,442,84.7
99,Charleston County,South Carolina,48551,814731,66482,16276,0.19008877263084178,0.38404976210582686,22331,248293,44001,0.17307573479433996,0.05180119873946984,193374,499956,428718,6.754237811785545,0,26737,0,90.2
>>>>>>> ac2bf4b38e4d16c51366ecb836e86e905cbbe560
